maxGain = 1830
    i DetId    ch    gain
    0     0     1   0.000
    1     0     2   0.000
    2     0     3   0.000
    3     0     4   0.000
    4     0     5   0.000
    5     0     6   0.000
    6     0     7   0.000
    7     0     8   0.000
    8     0     9   0.000
    9     0    10   0.000
   10     0    11   0.000
   11     0    12   0.000
   12     0    13   0.000
   13     0    14   0.000
   14     0    15   0.000
   15     0    16   0.000
   16     0    17   0.000
   17     0    18   0.000
   18     0    19   0.000
   19     0    20   0.000
   20     0    21   0.000
   21     0    22   0.000
   22     0    23   0.000
   23     0    24   0.000
   24     0    25   0.000
   25     0    26   0.000
   26     0    27   0.000
   27     0    28   0.000
   28     0    29   0.000
   29     0    30   0.000
   30     0    31   0.000
   31     0    32   0.000
   32     0    33   0.000
   33     0    34   0.000
   34     0    35   0.000
   35     0    36   0.000
   36     0    37   0.000
   37     0    38   0.000
   38     0    39   0.000
   39     0    40   0.000
   40     0    41   0.000
   41     0    42   0.000
   42     0    43   0.000
   43     0    44   0.000
   44     0    45   0.000
   45     0    46   0.000
   46     0    47   0.000
   47     0    48   0.000
   48     0    49   0.000
   49     1     1   0.000
   50     1     2   0.000
   51     1     3   0.000
   52     1     4   0.000
   53     1     5   0.000
   54     1     6   0.000
   55     1     7   0.000
   56     1     8   0.000
   57     1     9   0.000
   58     1    10   0.000
   59     1    11   0.000
   60     1    12   0.000
   61     1    13   0.000
   62     1    14   0.000
   63     1    15   0.000
   64     1    16   0.000
   65     1    17   0.000
   66     1    18   0.000
   67     1    19   0.000
   68     1    20   0.000
   69     1    21   0.000
   70     1    22   0.000
   71     1    23   0.000
   72     1    24   0.000
   73     1    25   0.000
   74     1    26   0.000
   75     1    27   0.000
   76     1    28   0.000
   77     1    29   0.000
   78     1    30   0.000
   79     1    31   0.000
   80     1    32   0.000
   81     1    33   0.000
   82     1    34   0.000
   83     1    35   0.000
   84     1    36   0.000
   85     1    37   0.000
   86     1    38   0.000
   87     1    39   0.000
   88     1    40   0.000
   89     1    41   0.000
   90     1    42   0.000
   91     1    43   0.000
   92     1    44   0.000
   93     1    45   0.000
   94     1    46   0.000
   95     1    47   0.000
   96     1    48   0.000
   97     1    49   0.000
   98     8     1   0.060
   99     8     2   0.059
  100     8     3   0.059
  101     8     4   0.058
  102     8     5   0.058
  103     8     6   0.057
  104     8     7   0.055
  105     8     8   0.054
  106     8     9   0.053
  107     8    10   0.052
  108     8    11   0.000
  109     8    12   0.000
